"perspectives","archetypeInstanceId","precomputedtypename","name","status","lastModifiedDate","createdDate","adoptionUUID","bufferBack","bufferBottom","bufferFront","bufferLeft","bufferRight","bufferTop","convertedUnit","depth","deviceName","dimensionPrecision","dimensionUnit","height","width","portNumber","positionsContained","positionsUsed","role","tmf639_dataSource_ingestion_uuid","tmf_lifecycleState"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_34877","Planned","1694172617922","1694172617187","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908753045374344","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","290cda27-e50f-456a-b0d1-e5470307bd25","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_37580","Planned","1694172678268","1694172677681","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908753045374774","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","11a223b6-eef5-4741-8617-600c2a09e6c8","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_26862","Planned","1694172844824","1694172844343","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908753045374992","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","7c5893ca-834a-4726-8689-9dad72020679","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_42131","Planned","1694172676961","1694172676437","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908890484328137","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","e3cf9650-f531-4231-9735-ba46edcf1289","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_1797","Planned","1694172849476","1694172848938","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908890484328573","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","f498e9e9-d9f3-476c-915d-aa89ea1ba585","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_2192","Planned","1694172977047","1694172976507","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908890484328897","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","f9442cb9-7731-4566-a3af-a01236d434a4","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_99327","Planned","1694172978310","1694172977806","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908890484329006","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","b06ccc62-bc0f-4ab6-8325-cef69d7a179e","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_88108","Planned","1694174019855","1694174019280","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908890484329877","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","c2d5f825-cfef-4518-b045-45e5f8990d5f","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_17828","Planned","1694172675606","1694172675021","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908959203804764","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","542f7880-ca1f-4d55-9dda-42a4cc94c4fa","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_62324","Planned","1694173767604","1694173767138","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908959203806074","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","d0cb1d53-d8bc-4964-9896-c9b4193cce6e","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_75972","Planned","1694173770244","1694173769713","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908959203806292","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","64f10b7c-6184-4567-90aa-a89d111b7d8f","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_585","Planned","1694174018538","1694174018054","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908959203806504","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","bd600d5a-87da-4ef2-ab1b-e6015fd5ba9d","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_59977","Planned","1694172216409","1694172215709","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254925589317173995","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","f088d74e-60d1-4748-82c3-b8a3455382d9","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_73305","Planned","1694172405030","1694172218915","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254925589317174213","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","b20abd7d-7d33-4145-a943-eafbbafa24de","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_51900","Planned","1694172616436","1694172615718","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254925589317174555","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","ba5d5f4d-b406-4b28-9dc1-a49d4a505381","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_11273","Planned","1694173768936","1694173768354","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254925589317176295","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","e2d102ab-50df-4922-8a3f-a24a90da6bf8","Active"
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","P4","Planned","1694063635755","1694063536398","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_255005578521464249","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","P4","2","inch","3.504","17.42","0","1","2","[""Ethernet""]","8df79c66-ddde-4ba9-99f7-442a49015c5e",""
"[""Plan"", ""Live/Plan merge""]","94701484791547236","Dell R640 Power Edge","DELLDEVICE","Planned","1694496761252","1694496759693","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_257278475819302284","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","DELLDEVICE","2","inch","1.752","18.98","","","","[]","f52a17cc-1c6b-42b2-8327-a358f7d26432",""
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_78333","Planned","1693567401964","1693567401542","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258402588171344568","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","dba69644-7197-4c20-82a9-a50477ad901e","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_35326","Planned","1693563610050","1693563608850","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419561882092924","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","0cb9f957-9c84-4ac4-9b22-85a6eabc72fe","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_49190","Planned","1693571408930","1693571408320","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419561882101345","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","2b42b524-9697-4063-87d5-c84821d37438","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_51771","Planned","1693571915137","1693571914664","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419561882101778","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","3de0060d-00c8-4ed8-9d7e-754ec3095bc9","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_47115","Planned","1693569754004","1693569753503","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321053027","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","46481e28-d8e1-4725-bf57-08984b4da140","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_77444","Planned","1693569755046","1693569754604","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321053136","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","322987cd-8339-4620-8cb1-818e6554bb77","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_74148","Planned","1693570283189","1693570282785","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321053813","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","1293f096-c35d-4fd0-bd6a-e770a408d261","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_91607","Planned","1693570285361","1693570284886","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321054031","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","b15e5156-75a0-4271-9b7e-730d1891d39e","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_554","Planned","1693571407669","1693571407234","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321054708","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","24031d0c-2ac5-4294-9a77-1875cb3541ce","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_28464","Planned","1693571913668","1693571913269","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321055141","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","16d60851-65f7-458e-90d7-067a27d408fb","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_78210","Planned","1693572113039","1693572112634","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321055583","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","276a32ca-3e1b-468d-b23f-91e52370f70d","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_25184","Planned","1693572114089","1693572113668","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699321055692","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","49831f86-d58f-463f-9534-42166a78254d","Active"
"[""Plan"", ""Live/Plan merge""]","94681487423814366","Ciena-5164","TEST DEVICE1 CIENA-5164 2797","Planned","1693581259313","1693580132706","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699322059032","0.0","0.0","0.0","0.0","0.0","0.0","inch","17.5","TEST DEVICE1 CIENA-5164 2797","2","inch","1.752","17.5","","","","[]","e265383f-87a2-417a-9ca5-32df63b54bba",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","JOIN DEVICE 1 ASR 9001 8609","Planned","1695051905623","1693580296004","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699322059835","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","JOIN DEVICE 1 ASR 9001 8609","2","inch","3.504","17.42","0","1","2","[""OTN""]","759e1300-29df-40d9-822c-1f4681d4f1c7",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1104001","CISCO ONS 15454","CISCO 1 TDM 5437","Planned","1695051905623","1693581301104","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419699322062989","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CISCO 1 TDM 5437","2","inch","12.264","12.25","","","7","[""SDH""]","ea52a577-f7f7-4420-aa18-6c81836d2254",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","TD-1","Planned","1693809980172","1693568413993","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419768040528712","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TD-1","2","inch","8.76","19.0","48","0","5","[""Optical""]","ea36d47e-d29a-4c0f-b92d-a568054c9964",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","TD-2","Planned","1693809980171","1693568454340","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419768040528819","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TD-2","2","inch","8.76","19.0","48","0","5","[""Optical""]","16bb1754-01f1-4a80-af9f-65726e2d4fd8",""
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_47063","Planned","1694172086068","1693572116210","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419768040532537","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","efd2f773-d616-458f-a9ac-e522f0e1b6ac","Active"
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","DEVICE OME 6500 7 SLOT 1562","Planned","1695051905623","1693574966395","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258419768040533148","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","DEVICE OME 6500 7 SLOT 1562","2","inch","10.512","19.0","0","1","6","[""OTN""]","34cb8d7f-20f1-4e60-9cbb-827620641d4a",""
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_3_87811","Planned","1693568549412","1693568548873","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258426571268726198","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","d7b56719-db41-468e-b8b6-fdc6a6af8159","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_65793","Planned","1693569752847","1693569752439","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258426571268726518","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","18e08ac1-f3f1-4ba3-926e-c559c6f6091d","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_98606","Planned","1693570284286","1693570283823","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258426571268727522","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","7c6d7709-d347-4594-ba68-3f22ba1cb703","Active"
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","DEVICE OME 6500 7 SLOT 9365","Planned","1695051905623","1693574851477","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258426571268729910","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","DEVICE OME 6500 7 SLOT 9365","2","inch","10.512","19.0","0","1","6","[""OTN""]","0271ac34-7345-4b47-ba15-a942a64af536",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 3 ASR 9001 8811","Planned","1695051905623","1693579988317","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258427464622929325","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 3 ASR 9001 8811","2","inch","3.504","17.42","0","1","2","[""OTN""]","e9d01318-cc55-4b80-a922-9aa2884686df",""
"[""Plan"", ""Live/Plan merge""]","94681487423814366","Ciena-5164","TEST DEVICE1 CIENA-5164 2512","Planned","1693580849414","1693580011475","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258427464622929640","0.0","0.0","0.0","0.0","0.0","0.0","inch","17.5","TEST DEVICE1 CIENA-5164 2512","2","inch","1.752","17.5","","","","[]","fdf2551a-c7c9-4f1f-bb8c-4ed704955bdb",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 1820","Planned","1695051905623","1693580477516","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554616314","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 1820","2","inch","3.504","17.42","0","1","2","[""OTN""]","35a36e06-2bb6-4f88-9186-403a95d508c3",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","JOIN DEVICE 3 ASR 9001 265","Planned","1695051905623","1693580546796","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554616443","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","JOIN DEVICE 3 ASR 9001 265","2","inch","3.504","17.42","0","1","2","[""OTN""]","7b0a224d-b445-4232-bc5b-29ca6eae06e0",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 3 ASR 9001 1085","Planned","1695051905623","1693580723251","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554616933","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 3 ASR 9001 1085","2","inch","3.504","17.42","0","1","2","[""OTN""]","45ae6077-21fb-4608-b558-6e46a9761bf3",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","FDP TEST DEVICE1 3531","Planned","1695051905623","1693581167430","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554618297","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","FDP TEST DEVICE1 3531","2","inch","8.76","19.0","48","0","5","[""Optical""]","471b7357-0db9-43e8-a61c-db1b8cd6169a",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","FDP TEST DEVICE2 8533","Planned","1695051905623","1693581429216","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554619162","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","FDP TEST DEVICE2 8533","2","inch","8.76","19.0","48","0","5","[""Optical""]","2df2cc80-2aff-437e-bcdd-726d21bf5048",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 3288","Planned","1695051905623","1693581682021","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554620102","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 3288","2","inch","3.504","17.42","0","1","2","[""OTN""]","6f8588a3-04a4-4eb1-9437-5f8f4f42df80",""
"[""Plan"", ""Live/Plan merge""]","94681487423814366","Ciena-5164","TEST DEVICE1 CIENA-5164 973","Planned","1693581869106","1693581868744","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554620864","0.0","0.0","0.0","0.0","0.0","0.0","inch","17.5","TEST DEVICE1 CIENA-5164 973","2","inch","1.752","17.5","","","","[]","f8bc4d65-35af-4843-ab76-71c17afba290",""
